hydro_year,ETr
1951,1474.1606772302878
1952,1563.2685742341018
1953,1491.6484942445559
1954,1599.6842917731933
1955,1684.8209982981866
1956,1636.6289505288896
1957,1632.9547479583543
1958,1699.3449772966626
1959,1726.807236205751
1960,1814.8725170330015
1961,2263.5543445754315
1962,1899.8735215994852
1963,1878.8976040669418
1964,1965.5658160531184
1965,1656.7499341516725
1966,1775.2833643255394
1967,1755.855197893547
1968,1934.9405158437035
1969,2026.102087380506
1970,1875.624394544976
1971,1832.2926159193364
1972,1795.0994267003564
1973,1966.0367918304103
1974,1750.2665581069878
1975,1862.3907544509693
1976,1812.7703417704163
1977,1718.7547850476521
1978,1767.455675665895
1979,1707.0364558854976
1980,1722.5415317695647
1981,1703.7606145733855
1982,1615.5459198426238
1983,1599.7312195457262
1984,1713.544847533625
1985,1646.4989156334748
1986,1717.8822764846893
1987,1829.8025690362401
1988,1674.2729556794197
1989,1699.7354364652206
1990,1682.018240021468
1991,1726.9343605011582
1992,1648.966938254653
1993,1683.9969641175417
1994,1814.1715221215527
1995,1799.9956405649766
1996,1789.061754356397
1997,1705.1584150845626
1998,1822.520641583702
1999,1740.0051738696652
2000,1866.0906824647225
2001,1828.735354757364
2002,1978.1164370133515
2003,1858.9602056142526
2004,1954.3712754473845
2005,1849.2633468153974
2006,1826.6675426285353
2007,1802.34883859836
2008,1830.468580233494
2009,1943.391138062214
2010,1859.6104089078913
2011,1871.4757106043942
2012,1895.4685776308393
2013,1754.1007559800955
2014,1827.0801103537642
2015,1861.2688345695976
2016,1848.157644076428
2017,1804.9930580450236
2018,1871.5786972958356
2019,2061.4710852190215
2020,2051.9355011153802
2021,2023.3439171630907
