hydro_year,PRECIP
1951,1994.6755863162157
1952,1813.1634795922769
1953,1770.2459550204571
1954,1379.8258996724066
1955,1292.522254001766
1956,1304.6244426235492
1957,1355.4732750063215
1958,1298.0935391478172
1959,1247.697347388152
1960,1370.3644047341543
1961,771.2940712477513
1962,1036.0010358123052
1963,1060.5985488397816
1964,914.3650966181629
1965,1746.6849456534462
1966,1202.225249899864
1967,1356.1961115671518
1968,999.3452261053519
1969,859.2026239322596
1970,1146.917009991494
1971,1153.661353717678
1972,1194.5134930816105
1973,870.7227409191181
1974,1302.7669309306045
1975,881.1053655193615
1976,962.3238390102508
1977,1276.4787422986215
1978,1081.4111434100307
1979,1081.7107992621388
1980,1335.7435380392674
1981,1281.7970589965223
1982,1319.910641853158
1983,1279.756004716244
1984,1124.6258249390737
1985,1444.6936747504233
1986,1227.32200065194
1987,1148.2018755518027
1988,1295.4867198809222
1989,1295.7887809856156
1990,1319.84221939759
1991,1211.7088857098206
1992,1405.1318471638958
1993,1239.175263274635
1994,979.5250137163168
1995,1240.954000925864
1996,1144.9787977169308
1997,1300.2545238511373
1998,1036.1733163191982
1999,1084.138589057925
2000,1155.0977387224968
2001,1031.9712558871627
2002,994.0768422103453
2003,828.0180615092704
2004,1053.2133403926814
2005,988.1281166967887
2006,1100.7199252278374
2007,1118.0757798886787
2008,1173.2224237895596
2009,1046.2500616047328
2010,915.160905708712
2011,1052.6677633676798
2012,1136.2109247182009
2013,910.2674244696284
2014,1219.7797361771704
2015,1051.1212001784393
2016,1160.7434748676537
2017,1097.8568562190123
2018,1227.8182600192554
2019,1001.1735940811162
2020,848.9239240845474
2021,792.6703698320481
2022,839.5836215030592
