Year,PV,Forest,Grassland,Pasture,Soybean,Agriculture,Wetland,Media_G_W,Def_1,Def_1_2,Def_2,SF
1985,85708.28173,61317.63225,24390.64948,6670.820168,0.040014747,44.60843828,40267.01494,32328.83221,,,,
1986,86687.01682,60944.11829,25742.89853,8153.532147,0.040014747,48.82514303,29413.61143,27578.25498,1935.694377,3085.993967,1150.299589,1608.607754
1987,81138.24975,60637.64039,20500.60937,8973.607504,0.032296785,53.41894559,34413.58145,27457.09541,5090.740639,7709.041329,2618.30069,1844.764651
1988,76714.86047,60121.09109,16593.76938,9654.758906,0.247216882,74.29921441,39184.03034,27888.89986,6451.847179,10957.40357,4505.556389,2136.077225
1989,75615.63836,59744.546,15871.09236,10118.99023,0.268551474,54.01757916,41700.34657,28785.71946,7791.213546,13399.61093,5608.397387,2995.121614
1990,77572.65355,59111.47158,18461.18197,11072.32514,0.223198776,64.84701051,27095.45722,22778.31959,8946.602736,15226.87995,6280.277218,5289.44338
1991,74486.20048,58749.93797,15736.26251,11644.49388,0.182533378,96.1564023,36460.71256,26098.48753,9970.162705,16950.80436,6980.641658,4716.10035
1992,74423.77271,58236.62989,16187.14283,12199.20049,0.088867922,98.3232657,33283.146,24735.14442,10931.23482,18236.51595,7305.281125,6182.59538
1993,74677.53662,57937.34924,16740.18738,12645.1421,0.040304262,85.0685631,35347.28361,26043.73549,11644.42884,19600.94955,7956.520718,6869.323623
1994,81637.61931,57389.07924,24248.54008,13012.42385,0.010313201,97.8289339,22552.03512,23400.2876,12394.92811,20579.21268,8184.284565,9856.876631
1995,75610.12664,56995.47013,18614.65651,13418.60505,0.006810961,134.5242489,34639.73209,26627.1943,13253.48619,22316.20847,9062.722281,9002.597195
1996,77231.65534,56538.09586,20693.55948,14045.86956,0.014558174,99.6591133,30632.46878,25663.01413,14013.41924,23606.1417,9592.72246,9768.959396
1997,76103.39377,56384.85364,19718.54013,14565.25453,0.007747213,101.2096631,37839.37047,28778.9553,14675.4852,24395.82943,9720.34423,10735.88044
1998,81752.35343,55933.47122,25818.88221,15192.20091,0,107.6909996,20973.75463,23396.31842,15391.24977,25954.78222,10563.53245,12566.68372
1999,79953.94021,55687.35063,24266.58958,15848.23091,0.006002672,92.71993364,29244.57785,26755.58371,16287.28248,27292.81251,11005.53003,13122.59024
2000,81939.3277,55245.25162,26694.07608,16604.60213,5.499391102,89.34458797,28709.45343,27701.76475,17051.44253,28576.06312,11524.62059,14530.47846
2001,87286.83041,54639.41533,32647.41509,17273.48516,10.50348975,89.52155445,15486.1835,24066.7993,17763.10882,29702.5409,11939.43208,16198.93509
2002,80499.24245,54260.57072,26238.67173,18060.00082,9.027494663,90.61736353,32661.00619,29449.83896,18578.38596,32051.38786,13473.0019,14304.78184
2003,84495.6527,53509.77622,30985.87649,18824.77095,9.968733353,85.76047748,15492.87963,23239.37806,19448.73608,34107.82878,14659.09271,16007.74704
2004,80195.97493,53278.0723,26917.90264,19581.22817,13.12215888,86.1180557,25588.04938,26252.97601,20308.92166,35596.3898,15287.46813,14447.52836
2005,81414.81808,52968.56211,28446.25598,20123.92914,17.8962041,112.2179085,22923.97911,25685.11754,21012.6692,36465.69369,15453.0245,15187.5862
2006,77833.81055,52808.54888,25025.26167,20418.81426,16.05770919,105.3240297,33608.48902,29316.87534,21772.66529,37555.2329,15782.56762,14665.70454
2007,75185.37364,52688.80302,22496.57062,20661.9082,9.286891585,116.9177574,33552.18062,28024.37562,22284.50362,39033.48835,16748.98473,13781.09567
2008,77193.61231,52545.15606,24648.45625,20872.75476,7.353636135,131.3647182,30811.39163,27729.92394,22787.72948,39549.39129,16761.66181,15076.25275
2009,83401.23919,52125.26553,31275.97367,21250.59007,13.48402476,136.0888309,17932.90624,24604.43995,23241.05571,40077.31163,16836.25593,16837.04
2010,79353.76598,52083.92866,27269.83732,21566.88167,13.78329596,137.1473244,29274.23393,28272.03563,23678.07957,40818.26561,17140.18604,16433.86552
2011,79254.16963,52026.65809,27227.51154,21742.6165,8.364922394,130.1871763,34314.33284,30770.92219,24019.81876,41349.81541,17329.99665,18510.38888
2012,90584.78085,51641.07017,38943.71068,21983.58097,15.78032447,133.3768309,11972.88361,25458.29715,24331.81816,41960.53141,17628.71325,21023.55909
2013,88386.71093,51467.93284,36918.77809,22088.90076,20.43680639,136.4773746,15262.75958,26090.76883,24663.77339,42719.50589,18055.7325,20855.35448
2014,80952.52832,51399.30924,29553.21908,22281.39768,12.90372768,121.0996323,22518.8898,26036.05444,24984.34895,43828.22457,18843.87561,17654.19136
2015,82582.7357,51322.32947,31260.40623,22556.65912,14.81718241,120.6429836,22670.53547,26965.47085,25326.64193,44204.11046,18877.46853,18329.45107
2016,83145.64519,51060.84253,32084.80266,23039.74974,18.48920188,130.5952682,22705.61083,27395.20675,25735.94521,44660.77793,18924.83272,18830.77225
2017,84782.16952,50922.00499,33860.16453,23359.76523,16.1161532,132.0745694,20352.344,27106.25427,26134.53414,44966.00258,18831.46844,20402.36782
2018,82334.10029,51133.78483,31200.31546,23547.00332,11.30266869,136.4829275,36266.78486,33733.55016,26425.94693,45198.71823,18772.7713,21741.10775
2019,100945.043,50690.5601,50254.48295,23910.34605,7.96570466,133.2172438,17487.22403,33870.85349,26600.67112,45338.93765,18738.26653,29791.08414
2020,111005.8579,50236.72753,60769.13041,24234.65041,23.33803335,136.9161895,10029.29954,35399.21497,26975.15305,45521.77584,18546.6228,31463.59262
