system:index,system:index,ETr
1950,1,139.8940663
1950,2,110.3560623
1950,3,107.9770002
1950,4,99.02163753
1950,5,101.5008597
1950,6,78.63210327
1950,7,111.0524278
1950,8,168.5023097
1950,9,137.0720076
1950,10,130.0181435
1950,11,141.2201371
1950,12,142.7623807
1951,1,132.1500638
1951,2,119.8666764
1951,3,114.8089111
1951,4,103.5338635
1951,5,89.27871532
1951,6,95.41033451
1951,7,134.8788822
1951,8,133.1605615
1951,9,161.5385689
1951,10,160.3010587
1951,11,157.2103964
1951,12,133.4079169
1952,1,135.2960258
1952,2,110.2350168
1952,3,114.7048133
1952,4,105.1161241
1952,5,107.1360638
1952,6,90.63440311
1952,7,132.1210003
1952,8,155.5671859
1952,9,151.3159199
1952,10,138.5604833
1952,11,136.9691769
1952,12,136.6345144
1953,1,148.9743782
1953,2,108.3051923
1953,3,110.9881846
1953,4,101.8699289
1953,5,85.27619256
1953,6,94.94559714
1953,7,114.2638711
1953,8,163.5450549
1953,9,143.2752953
1953,10,135.0138662
1953,11,133.6677181
1953,12,153.6897007
1954,1,176.4575933
1954,2,124.8357414
1954,3,116.3876751
1954,4,122.3037198
1954,5,94.0228466
1954,6,101.2286431
1954,7,120.8173522
1954,8,177.9841399
1954,9,190.3276399
1954,10,165.5145871
1954,11,176.5838924
1954,12,167.6096679
1955,1,136.1883321
1955,2,143.6517374
1955,3,137.884279
1955,4,105.205704
1955,5,98.06686724
1955,6,89.84993044
1955,7,116.7620852
1955,8,157.1762757
1955,9,212.1730549
1955,10,202.8273485
1955,11,155.4357061
1955,12,139.8709569
1956,1,175.4339079
1956,2,139.2447722
1956,3,128.2946737
1956,4,101.5039851
1956,5,89.74221532
1956,6,72.58229321
1956,7,86.38703429
1956,8,133.1330024
1956,9,179.2730302
1956,10,141.4888908
1956,11,136.5573458
1956,12,155.0151431
1957,1,147.5694959
1957,2,117.3860958
1957,3,126.6647838
1957,4,118.0124471
1957,5,121.6408816
1957,6,104.4293719
1957,7,119.6387776
1957,8,165.2784844
1957,9,150.6374546
1957,10,203.7301798
1957,11,160.9334579
1957,12,157.3719054
1958,1,157.209695
1958,2,139.0131052
1958,3,133.9609658
1958,4,114.4180417
1958,5,96.80477793
1958,6,116.6419899
1958,7,110.9515389
1958,8,157.6718652
1958,9,182.0032456
1958,10,165.4864932
1958,11,164.010214
1958,12,153.9308549
1959,1,131.5256368
1959,2,147.5544919
1959,3,126.8301177
1959,4,123.2322748
1959,5,108.1626994
1959,6,101.1226785
1959,7,157.9571562
1959,8,164.9913731
1959,9,192.8201987
1959,10,202.9725212
1959,11,165.5586443
1959,12,162.3316176
1960,1,137.3722292
1960,2,127.5080471
1960,3,119.8379546
1960,4,121.7822004
1960,5,115.930234
1960,6,129.7349731
1960,7,166.4204803
1960,8,172.6034166
1960,9,234.018346
1960,10,225.5194128
1960,11,144.6901735
1960,12,175.3078032
1961,1,205.8353909
1961,2,162.7093494
1961,3,183.3781622
1961,4,152.3513553
1961,5,166.04683
1961,6,168.1375119
1961,7,195.0650822
1961,8,250.4949272
1961,9,271.4323472
1961,10,255.9662682
1961,11,170.458321
1961,12,156.498097
1962,1,128.8387478
1962,2,144.8082467
1962,3,150.0910507
1962,4,104.9494133
1962,5,102.7464899
1962,6,109.3003125
1962,7,124.2438983
1962,8,180.5403289
1962,9,185.3874484
1962,10,177.6582052
1962,11,208.9927661
1962,12,138.6497191
1963,1,157.2685967
1963,2,118.2717221
1963,3,144.876665
1963,4,111.414529
1963,5,118.8261151
1963,6,123.2528547
1963,7,173.276211
1963,8,221.0227719
1963,9,251.5606134
1963,10,256.8833507
1963,11,185.5040572
1963,12,178.7591989
1964,1,169.7001417
1964,2,137.2243205
1964,3,133.1451702
1964,4,117.2776039
1964,5,121.5402976
1964,6,111.5672129
1964,7,130.9119781
1964,8,171.4918709
1964,9,177.3835703
1964,10,163.3882746
1964,11,167.037501
1964,12,157.3399767
1965,1,139.8535485
1965,2,114.4067112
1965,3,117.8444631
1965,4,102.649066
1965,5,101.5520587
1965,6,109.735885
1965,7,122.3183577
1965,8,183.2405213
1965,9,177.9013264
1965,10,176.0390147
1965,11,157.9540718
1965,12,194.0436428
1966,1,169.1731081
1966,2,126.3859101
1966,3,136.1851318
1966,4,122.2583495
1966,5,100.502431
1966,6,122.945123
1966,7,129.4077682
1966,8,162.487487
1966,9,169.6981275
1966,10,142.4486363
1966,11,158.4671333
1966,12,186.4316658
1967,1,153.9631639
1967,2,133.8193345
1967,3,117.7973514
1967,4,115.4650304
1967,5,147.5395978
1967,6,101.8738015
1967,7,139.192245
1967,8,189.1591104
1967,9,196.6736805
1967,10,191.8256366
1967,11,161.5866445
1967,12,176.9403067
1968,1,191.8601532
1968,2,157.2635705
1968,3,168.526555
1968,4,144.3243807
1968,5,118.8209645
1968,6,130.9371498
1968,7,159.5261524
1968,8,136.6553216
1968,9,166.0074685
1968,10,191.2533758
1968,11,200.4869599
1968,12,155.7861196
1969,1,197.4583833
1969,2,179.3496295
1969,3,170.3052781
1969,4,139.91402
1969,5,148.7080569
1969,6,133.2520268
1969,7,168.0217353
1969,8,175.5590339
1969,9,204.2421651
1969,10,171.9573821
1969,11,178.0457581
1969,12,167.8378749
1970,1,175.1130121
1970,2,139.5180012
1970,3,143.5169541
1970,4,126.2205369
1970,5,127.2923826
1970,6,118.6975415
1970,7,143.4697784
1970,8,179.7130075
1970,9,171.0472614
1970,10,181.1700315
1970,11,181.9149425
1970,12,223.897222
1971,1,174.0794808
1971,2,158.8523097
1971,3,133.3878863
1971,4,125.1376886
1971,5,108.2136033
1971,6,90.07426125
1971,7,127.1626081
1971,8,157.3553205
1971,9,176.751365
1971,10,139.3634287
1971,11,155.5770331
1971,12,195.8140902
1972,1,184.066062
1972,2,135.4032826
1972,3,144.6023056
1972,4,129.3900914
1972,5,130.0373084
1972,6,122.4559488
1972,7,125.1226386
1972,8,156.5158722
1972,9,184.9824419
1972,10,215.6650158
1972,11,182.4946937
1972,12,166.2553722
1973,1,221.0345053
1973,2,170.6358727
1973,3,159.5038124
1973,4,133.5250947
1973,5,125.1987333
1973,6,119.1209969
1973,7,137.000634
1973,8,150.6196189
1973,9,183.126081
1973,10,189.7064608
1973,11,152.3360803
1973,12,154.8144523
1974,1,169.3724878
1974,2,151.0173197
1974,3,132.1334032
1974,4,103.7399585
1974,5,119.4863222
1974,6,99.49666467
1974,7,139.7098599
1974,8,155.3274676
1974,9,182.7535121
1974,10,166.1599427
1974,11,203.929688
1974,12,159.6983393
1975,1,184.712173
1975,2,160.1461439
1975,3,156.3118942
1975,4,121.1890039
1975,5,122.1764595
1975,6,118.7757911
1975,7,123.2593699
1975,8,163.2784369
1975,9,176.923365
1975,10,179.4697072
1975,11,162.0005489
1975,12,180.9203706
1976,1,181.0450901
1976,2,125.0722702
1976,3,149.9208799
1976,4,127.1368898
1976,5,110.313603
1976,6,111.137834
1976,7,149.3572154
1976,8,159.4725677
1976,9,141.8102317
1976,10,172.5047948
1976,11,157.7336004
1976,12,159.7811453
1977,1,151.8301143
1977,2,149.6076428
1977,3,150.5481567
1977,4,122.6840346
1977,5,97.78593584
1977,6,95.78621114
1977,7,162.3240144
1977,8,156.3589029
1977,9,153.0466694
1977,10,170.7113145
1977,11,149.2106975
1977,12,150.8121349
1978,1,170.3875828
1978,2,141.1223053
1978,3,167.8696
1978,4,135.3229877
1978,5,115.7283992
1978,6,110.381613
1978,7,134.5323143
1978,8,168.3300572
1978,9,166.5453254
1978,10,183.5633323
1978,11,183.3799835
1978,12,165.5099536
1979,1,143.390735
1979,2,142.8756065
1979,3,135.2943611
1979,4,114.0434227
1979,5,99.07493876
1979,6,109.1341228
1979,7,115.370371
1979,8,148.8543033
1979,9,149.361585
1979,10,193.7344423
1979,11,174.6788343
1979,12,160.9512823
1980,1,155.2148993
1980,2,123.2882388
1980,3,147.7011765
1980,4,129.6097066
1980,5,119.6849825
1980,6,102.9375482
1980,7,128.5060729
1980,8,136.872763
1980,9,159.8033026
1980,10,191.0471445
1980,11,156.1064227
1980,12,156.1725308
1981,1,144.8297369
1981,2,144.4793556
1981,3,127.1856605
1981,4,131.1704296
1981,5,122.5881777
1981,6,87.27684077
1981,7,132.0624174
1981,8,151.0385956
1981,9,177.0010632
1981,10,159.2171678
1981,11,157.9578399
1981,12,151.9368082
1982,1,142.7756663
1982,2,126.8333628
1982,3,113.1398313
1982,4,114.1377274
1982,5,116.1031574
1982,6,98.77613445
1982,7,119.4370108
1982,8,138.2301502
1982,9,141.860723
1982,10,151.9477836
1982,11,155.989218
1982,12,155.067904
1983,1,140.0735983
1983,2,138.750739
1983,3,136.6416036
1983,4,117.6936827
1983,5,101.6190121
1983,6,86.3558317
1983,7,112.3706251
