system:index,system:index,VPD
1950,1,0.739328056
1950,2,0.623984926
1950,3,0.602205816
1950,4,0.648231283
1950,5,0.839366299
1950,6,0.720369583
1950,7,1.120750595
1950,8,1.9456147
1950,9,1.14863027
1950,10,0.824687171
1950,11,0.858733411
1950,12,0.753409666
1951,1,0.659951677
1951,2,0.689002958
1951,3,0.635307804
1951,4,0.697069481
1951,5,0.673099062
1951,6,0.816713609
1951,7,1.380621953
1951,8,1.256329284
1951,9,1.457432308
1951,10,1.158505432
1951,11,0.997625418
1951,12,0.708875077
1952,1,0.687544071
1952,2,0.605511655
1952,3,0.625559042
1952,4,0.661483333
1952,5,0.800810142
1952,6,0.943294795
1952,7,1.347254856
1952,8,1.924929996
1952,9,1.308010919
1952,10,0.890219046
1952,11,0.800219352
1952,12,0.804074958
1953,1,0.75316486
1953,2,0.623400742
1953,3,0.607251573
1953,4,0.646266826
1953,5,0.566131697
1953,6,0.862369389
1953,7,1.091334246
1953,8,1.899785853
1953,9,1.142323009
1953,10,0.848921693
1953,11,0.789519812
1953,12,0.90635636
1954,1,1.005650492
1954,2,0.763443269
1954,3,0.63028776
1954,4,0.89667802
1954,5,0.734486951
1954,6,1.060649143
1954,7,1.335841371
1954,8,2.204798091
1954,9,2.365146588
1954,10,1.409575803
1954,11,1.366038016
1954,12,1.045461868
1955,1,0.731889367
1955,2,0.906285384
1955,3,0.86168403
1955,4,0.718054336
1955,5,0.802319053
1955,6,0.896246567
1955,7,1.178212934
1955,8,1.970123309
1955,9,2.888865239
1955,10,1.962705761
1955,11,1.127438176
1955,12,0.759131529
1956,1,0.990364552
1956,2,0.934059721
1956,3,0.790250005
1956,4,0.651753341
1956,5,0.638093818
1956,6,0.582343644
1956,7,0.724270281
1956,8,1.209138542
1956,9,1.880529909
1956,10,0.99719792
1956,11,0.810780585
1956,12,0.936255283
1957,1,0.77385477
1957,2,0.697205668
1957,3,0.713049267
1957,4,0.853217522
1957,5,1.094552627
1957,6,1.184653626
1957,7,1.104607199
1957,8,2.012976409
1957,9,1.6146239
1957,10,1.89502304
1957,11,1.201521425
1957,12,0.930977624
1958,1,1.061862889
1958,2,0.976509658
1958,3,0.818391739
1958,4,0.823403821
1958,5,0.696771731
1958,6,1.163228546
1958,7,1.161159735
1958,8,1.60022026
1958,9,1.932095949
1958,10,1.337249075
1958,11,1.161164521
1958,12,0.936851858
1959,1,0.723165655
1959,2,0.923460699
1959,3,0.718153502
1959,4,0.87282516
1959,5,0.923704775
1959,6,1.03901985
1959,7,1.976870124
1959,8,1.826895959
1959,9,2.396418579
1959,10,2.166068627
1959,11,1.31538323
1959,12,0.98837757
1960,1,0.740281174
1960,2,0.729216991
1960,3,0.661499575
1960,4,0.919225515
1960,5,0.989787166
1960,6,1.418363158
1960,7,1.86816423
1960,8,1.857964518
1960,9,2.991279795
1960,10,2.538854053
1960,11,1.04481821
1960,12,1.098942499
1961,1,1.420297264
1961,2,1.243551126
1961,3,1.47974401
1961,4,1.618697623
1961,5,2.244645163
1961,6,2.198088975
1961,7,2.56978379
1961,8,3.677987131
1961,9,3.858091352
1961,10,3.644416265
1961,11,1.339927668
1961,12,1.05435356
1962,1,0.738710863
1962,2,1.021886881
1962,3,1.022905288
1962,4,0.762768085
1962,5,0.796744884
1962,6,1.030215129
1962,7,1.196694196
1962,8,2.174036072
1962,9,2.182396488
1962,10,1.416969917
1962,11,1.781965629
1962,12,0.857295759
1963,1,0.882384609
1963,2,0.724114243
1963,3,0.908202506
1963,4,0.767177779
1963,5,1.069918965
1963,6,1.430260063
1963,7,2.021654269
1963,8,2.785915949
1963,9,3.035237612
1963,10,3.533314979
1963,11,1.565065872
1963,12,1.344916471
1964,1,1.269021226
1964,2,0.919001747
1964,3,0.819473136
1964,4,0.913612403
1964,5,1.173627493
1964,6,1.143929309
1964,7,1.415366403
1964,8,2.020288223
1964,9,2.122884422
1964,10,1.27186228
1964,11,1.122241743
1964,12,0.939750427
1965,1,4.25E+56
1965,2,0.696216502
1965,3,0.717852552
1965,4,0.672440043
1965,5,0.760095817
1965,6,1.059969649
1965,7,1.058471543
1965,8,1.885353028
1965,9,1.771388483
1965,10,1.246928771
1965,11,1.086424265
1965,12,1.292821801
1966,1,1.031245175
1966,2,0.812303265
1966,3,0.845627796
1966,4,0.912454462
1966,5,0.805949772
1966,6,1.115427717
1966,7,1.186178112
1966,8,1.502024411
1966,9,1.554431889
1966,10,0.962526878
1966,11,1.019759979
1966,12,1.23230794
1967,1,0.871576333
1967,2,0.83162416
1967,3,0.656750443
1967,4,0.757314789
1967,5,1.349677321
1967,6,1.029005076
1967,7,1.472875205
1967,8,2.108593506
1967,9,2.139598426
1967,10,1.63098714
1967,11,1.195137418
1967,12,1.229412264
1968,1,1.26558774
1968,2,1.118566327
1968,3,1.295605293
1968,4,1.360089604
1968,5,1.062157068
1968,6,1.535297993
1968,7,1.845659673
1968,8,1.464185659
1968,9,1.454826587
1968,10,1.582347819
1968,11,1.806460327
1968,12,0.936021845
1969,1,1.388511135
1969,2,1.551230537
1969,3,1.443987882
1969,4,1.348293822
1969,5,1.521691185
1969,6,1.465604365
1969,7,1.916986353
1969,8,2.095929983
1969,9,2.440933652
1969,10,1.354750839
1969,11,1.312576355
1969,12,1.151539361
1970,1,1.193806665
1970,2,0.967127452
1970,3,1.020992588
1970,4,1.034008481
1970,5,1.216735989
1970,6,1.358866249
1970,7,1.528485577
1970,8,2.041333151
1970,9,1.747090504
1970,10,1.528195242
1970,11,1.561439383
1970,12,1.708250376
1971,1,1.142929753
1971,2,1.261556611
1971,3,0.827976414
1971,4,1.000895607
1971,5,0.893761528
1971,6,0.838099737
1971,7,1.349753521
1971,8,1.524872511
1971,9,2.001905835
1971,10,0.93165393
1971,11,1.065251962
1971,12,1.295658886
1972,1,1.299816521
1972,2,0.874660784
1972,3,0.932082338
1972,4,1.029980137
1972,5,1.309438715
1972,6,1.283376085
1972,7,1.364963034
1972,8,1.475014201
1972,9,1.778013262
1972,10,1.859954406
1972,11,1.396886411
1972,12,1.079945851
1973,1,1.571717909
1973,2,1.271703122
1973,3,1.229840308
1973,4,1.177317087
1973,5,1.157875842
1973,6,1.321705
1973,7,1.338735448
1973,8,1.515884415
1973,9,1.922459936
1973,10,1.501177712
1973,11,1.081006084
1973,12,0.931902122
1974,1,0.99811016
1974,2,1.018791874
1974,3,0.835727592
1974,4,0.713133799
1974,5,0.982975183
1974,6,0.953116992
1974,7,1.420215253
1974,8,1.528728337
1974,9,1.928681143
1974,10,1.289782628
1974,11,1.592935962
1974,12,1.045048393
1975,1,1.240978661
1975,2,1.20939217
1975,3,1.100215058
1975,4,0.935888641
1975,5,1.062128537
1975,6,1.293742661
1975,7,1.173838818
1975,8,1.771496208
1975,9,1.980404156
1975,10,1.463550823
1975,11,1.136604879
1975,12,1.187879263
1976,1,1.137409006
1976,2,0.762115401
1976,3,0.952171321
1976,4,0.999687145
1976,5,0.941301408
1976,6,1.035640861
1976,7,1.553212344
1976,8,1.642814289
1976,9,1.230672498
1976,10,1.250517015
1976,11,1.053779584
1976,12,0.935389916
1977,1,0.88137811
1977,2,1.013733656
1977,3,1.028117461
1977,4,0.92836586
1977,5,0.767919804
1977,6,0.875842459
1977,7,1.585761655
1977,8,1.66596266
1977,9,1.382320222
1977,10,1.289837361
1977,11,0.997236718
1977,12,0.933399865
1978,1,1.086934048
1978,2,1.112885724
1978,3,1.31096229
1978,4,1.215936322
1978,5,1.072355694
1978,6,1.10484848
1978,7,1.380643033
1978,8,1.728224983
1978,9,1.558930504
1978,10,1.605545523
1978,11,1.322178704
1978,12,1.165083036
1979,1,0.904852058
1979,2,1.04297069
1979,3,0.933759464
1979,4,0.866035021
1979,5,0.826683899
1979,6,1.086225935
1979,7,1.126609235
1979,8,1.647557204
1979,9,1.205584695
1979,10,1.573432992
1979,11,1.233715136
1979,12,1.032652107
1980,1,0.903798922
1980,2,0.755099312
1980,3,0.903647066
1980,4,0.962768833
1980,5,1.042398164
1980,6,0.998989186
1980,7,1.24417463
1980,8,1.402587919
1980,9,1.390393462
1980,10,1.491770402
1980,11,1.127422144
1980,12,0.975734335
1981,1,0.806806102
1981,2,0.921181158
1981,3,0.77017368
1981,4,1.07401888
1981,5,1.151994736
1981,6,0.758694959
1981,7,1.170682079
1981,8,1.582107294
1981,9,1.709473765
1981,10,1.193306148
1981,11,1.092337796
1981,12,0.892518542
1982,1,0.820653587
1982,2,0.781191244
1982,3,0.649477867
1982,4,0.813416113
1982,5,0.92217678
1982,6,0.852529357
1982,7,1.171525421
1982,8,1.243607424
1982,9,1.150098623
1982,10,0.988487991
1982,11,0.957211729
1982,12,0.91826711
1983,1,0.795252883
1983,2,0.913603371
1983,3,0.843227961
1983,4,0.862715779
1983,5,0.860830292
1983,6,0.730576664
1983,7,1.002966321
1983,8,1.534495281
1983,9,1.347093284
1983,10,1.205079639
1983,11,0.894019015
1983,12,0.914591553
1984,1,0.972922942
1984,2,1.06764144
1984,3,0.836441162
1984,4,0.723181917
1984,5,0.949212601
1984,6,1.043326204
1984,7,1.514639115
1984,8,1.359785424
1984,9,1.365902816
1984,10,1.320565429
1984,11,0.898696389
1984,12,0.765999051
1985,1,0.843172068
1985,2,0.94657986
1985,3,0.805704228
1985,4,0.753101495
1985,5,0.943402803
1985,6,1.189890494
1985,7,1.237907033
1985,8,1.411739197
1985,9,1.478765974
1985,10,1.247944355
1985,11,1.407734499
1985,12,1.447354566
1986,1,0.982385243
1986,2,0.842265017
1986,3,0.7456654
1986,4,1.129368806
1986,5,0.930369533
1986,6,1.18983785
1986,7,1.256190604
1986,8,1.221736642
1986,9,1.302179412
1986,10,1.475097063
1986,11,1.607632386
1986,12,1.000636844
1987,1,1.111144679
1987,2,1.009154199
1987,3,0.889966462
1987,4,0.873998547
1987,5,0.778395553
1987,6,0.921272996
1987,7,1.627354847
1987,8,1.584601016
1987,9,1.818048922
1987,10,1.379200116
1987,11,1.128581991
1987,12,0.850718193
1988,1,0.9614682
1988,2,0.868863193
1988,3,0.777027187
1988,4,0.703811877
1988,5,0.61327867
1988,6,0.908928516
1988,7,1.249758359
1988,8,2.07748875
1988,9,2.167248447
1988,10,1.634191711
1988,11,1.423071448
1988,12,0.938167559
1989,1,0.826607849
1989,2,0.828079201
1989,3,0.851329124
1989,4,0.758603196
1989,5,0.897761534
1989,6,0.81000438
1989,7,1.107576182
1989,8,1.259179981
1989,9,1.299237742
1989,10,1.705699769
1989,11,1.283918209
1989,12,0.844048768
1990,1,0.96688935
1990,2,0.869748594
