,hydro_year,month,year_x,media_estacao
0,1951,78,23408,1411.545
1,1952,78,23420,1321.6916666666666
2,1953,78,23432,1082.5
3,1954,78,23444,1376.3966666666665
4,1955,78,23456,1074.2866666666666
5,1956,78,23468,1494.0933333333332
6,1957,78,23480,1350.81
7,1958,78,23492,1462.4780952380952
8,1959,78,23504,1413.1214285714286
9,1960,78,23516,1206.7785714285715
10,1961,78,23528,1117.642857142857
11,1962,78,23540,914.45
12,1963,78,23552,1015.0839285714286
13,1964,78,23564,984.8958333333334
14,1965,78,23576,1312.4569444444444
15,1966,78,23588,1181.5744509085685
16,1967,78,23600,1107.0123214285713
17,1968,78,23612,1178.7972677404296
18,1969,78,23624,1120.7121800034136
19,1970,78,23636,1207.1284632932234
20,1971,78,23648,1171.8764609843406
21,1972,78,23660,1306.9405543466692
22,1973,78,23672,1264.5408864341887
23,1974,78,23684,1732.1553029587874
24,1975,78,23696,1347.187035240745
25,1976,78,23708,1413.159420295272
26,1977,78,23720,1497.963613977205
27,1978,78,23732,1383.8334948607978
28,1979,78,23744,1561.8900545606953
29,1980,78,23756,1447.8104960676592
30,1981,78,23768,1428.1551439837751
31,1982,78,23780,1599.822277383376
32,1983,78,23792,1470.4721924336984
33,1984,78,23804,1451.0826811543802
34,1985,78,23816,1541.3201086193656
35,1986,78,23828,1346.660115207373
36,1987,78,23840,1367.7357305791547
37,1988,78,23852,1582.6156126482213
38,1989,78,23864,1616.8270391602678
39,1990,78,23876,1961.6289683801447
40,1991,78,23888,1719.7346928209736
41,1992,78,23900,1364.4894240489677
42,1993,78,23912,1314.6804214165466
43,1994,78,23924,1240.463185868247
44,1995,78,23936,1462.3299907519352
45,1996,78,23948,1320.025707831656
46,1997,78,23960,1500.2397279120983
47,1998,78,23972,1388.3822263003108
48,1999,78,23984,1244.5351341665369
49,2000,78,23996,1281.1488971169147
50,2001,78,24008,1226.7975881120929
51,2002,78,24020,1440.8339231013035
52,2003,78,24032,1255.5707344972682
53,2004,78,24044,1306.5848338685275
54,2005,78,24056,1162.692786769598
55,2006,78,24068,1411.607295205964
56,2007,78,24080,1348.4930335954864
57,2008,78,24092,1343.870464757878
58,2009,78,24104,1322.7383531630408
59,2010,78,24116,1345.9003952261462
60,2011,78,24128,1453.606817722619
61,2012,78,24140,1277.2091442599137
62,2013,78,24152,1340.4718428339836
63,2014,78,24164,1571.46978273392
64,2015,78,24176,1326.5069232593619
65,2016,78,24188,1307.8436438119138
66,2017,78,24200,1341.531860810736
67,2018,78,24212,1470.4916033438321
68,2019,78,24224,1346.7113736806234
69,2020,78,24236,1137.7413834666906
70,2021,78,24248,1064.4022603917701
71,2022,78,24260,1304.120160144768
